animeID,name,studio,episodes,airing,rank,popularity,members,favorites,reviewers,Animation_score
32788,0,0,1,FALSE,9445,13428,132,0,70,5.23
32789,0,0,1,FALSE,9434,11174,311,1,166,5.23
32790,0,0,1,FALSE,9570,11815,233,0,119,5.15
32792,0,0,22,FALSE,1464,3082,17676,80,6701,7.57
32794,0,0,1,FALSE,11932,14179,94,0,9,5.67
32795,0,0,1,FALSE,11931,13791,113,0,11,6
32796,0,0,1,FALSE,12858,14138,96,0,11,6.82
32797,0,0,1,FALSE,12859,14202,93,0,12,6.42
32799,0,0,0,TRUE,13307,13890,108,0,15,4.8
32800,0,0,1,FALSE,9565,13301,137,0,72,5.15
32801,0,0,1,FALSE,2811,1239,75427,91,36042,7.21
32802,0,0,24,FALSE,3945,5488,4535,9,1731,6.92
32803,0,0,1,FALSE,9971,11742,237,0,105,4.77
32804,0,0,1,FALSE,10069,10540,424,0,240,4.62
32805,0,0,26,FALSE,6435,5311,4905,7,1424,6.35
32806,0,0,1,FALSE,2217,7685,1731,1,600,7.36
32807,0,0,104,FALSE,13554,13505,128,0,26,4.42
32808,0,0,1,FALSE,13558,13595,124,0,25,4.12
32809,0,0,1,FALSE,13568,13274,139,0,22,4.68
32811,0,0,1,FALSE,9968,12103,207,0,122,4.77
32812,0,0,1,FALSE,9247,12205,198,0,105,5.35
32813,2010,0,1,FALSE,9950,9737,628,0,410,4.79
32816,0,0,2,FALSE,7245,7589,1820,0,555,6.15
32817,0,0,2,FALSE,6745,7878,1579,0,407,6.28
32818,0,0,104,FALSE,13560,13678,119,0,26,4.38
32819,0,0,104,FALSE,13556,13660,120,0,24,4.13
32820,0,0,52,FALSE,13555,13659,120,0,24,4.08
32821,0,0,52,FALSE,13557,13799,113,0,21,4.43
32823,0,0,1,FALSE,11884,13928,107,0,10,5.8
32826,0,0,1,FALSE,6362,7945,1526,2,587,6.37
32827,0,0,12,FALSE,1384,822,118415,725,56051,7.59
32828,0,0,12,FALSE,1477,550,167897,609,73987,7.56
32829,0,0,26,FALSE,3297,3230,16168,20,6415,7.1
32830,0,0,13,FALSE,9673,7285,2077,2,192,5.07
32831,0,0,1,FALSE,9898,10541,424,0,225,4.85
32832,0,0,1,FALSE,11583,8752,1050,0,17,6.65
32834,0,0,1,FALSE,11062,13718,116,0,11,4.27
32835,0,0,1,FALSE,10973,13114,146,0,27,5.67
